SPAfilename,SPAtrial,SPAround,SPAdate,SPAtank,SPAsex,SPAcolor,SPAtime,SPApart,fishID,SPAreward_side,SPAvid_length,SPAprop_right_platform,SPAprop_left_platform,SPAprop_right_corner,SPAprop_left_corner,SPAprop_right_wall,SPAprop_left_wall,SPAprop_neutral_zone,SPAprop_sum_platform,SPAprop_sum_corner,SPAprop_sum_corner_and_platform,SPAprop_sum_wall,SPAnumber_of_entries_total,SPAprop_correct_of_platform_time,SPAprop_correct_including_corners_of_total,SPAprop_correct_including_corners_of_corner_and_platform_time,SPAlatency_to_enter_a_wall,SPAlatency_to_enter_a_corner,SPAlatency_to_enter_a_platform,SPAlatency_to_enter_correct_platform,SPAlatency_to_enter_correct_corner,SPAfirst_choice_correct_or_incorrect_corner,SPAprop_correct_including_corners_following_first_correct_corner_entry
SPA4_round1_0508_harry_female_black_6pm_tank2_part1_2019-09-17T145716_108.csv,SPA4,round1,0508,tank2,female,black,6pm,combined_now,round1femaleblack,L,748.296,0,0.9234393876220106,0,0.008722484150656941,0.005608743064241962,0,0.042018131862257724,0.9234393876220106,0.008722484150656941,0.9321618717726674,0.005608743064241962,8,1,0.9321618717726674,1,24.656000000000006,50.763000000000005,57.28999999999999,57.28999999999999,50.763000000000005,correct,1.0000000000000002
SPA4_round1_0508_harry_female_blue_6pm_tank1_part1_2019-09-18T150251_681.csv,SPA4,round1,0508,tank1,female,blue,6pm,combined_now,round1femaleblue,L,749.825,0,0.9206721568365951,0,0.04158303604174308,0,0.017289367519087783,0.0026979628580001947,0.9206721568365951,0.04158303604174308,0.9622551928783382,0.017289367519087783,14,1,0.9622551928783382,1,7.60499999999999,19.256,59.482,59.482,19.256,correct,0.9876178704543995
SPA4_round1_0508_harry_female_orange_6pm_tank2_part1_2019-09-17T151404_416.csv,SPA4,round1,0508,tank2,female,orange,6pm,combined_now,round1femaleorange,L,741.935,0,0.7541280570400373,0,0.008326874995788037,0,0.2164583150815098,0.01970523024254143,0.7541280570400373,0.008326874995788037,0.7624549320358254,0.2164583150815098,13,1,0.7624549320358254,1,1.7989999999999782,18.945999999999998,178.97099999999998,178.97099999999998,18.945999999999998,correct,0.782435140783608
SPA4_round1_0508_harry_female_purple_6pm_tank1_part1_2019-09-17T153054_007.csv,SPA4,round1,0508,tank1,female,purple,6pm,combined_now,round1femalepurple,L,756.8530000000001,0,0.9274667603880806,0,0.0046825473374619495,0,0.0010570084283209704,0.01588023037498682,0.9274667603880806,0.0046825473374619495,0.9321493077255426,0.0010570084283209704,12,1,0.9321493077255426,1,3.2249999999999943,4.025000000000006,5.825000000000017,5.825000000000017,4.025000000000006,correct,0.9371330503116252
SPA4_round1_0508_harry_female_white_6pm_tank3_part1_2019-09-18T192658_594.csv,SPA4,round1,0508,tank3,female,white,6pm,combined_now,round1femalewhite,L,733.2450000000001,0,0,0,0.9459975860728678,0,0.04077900292535238,0.004402348464701441,0,0.9459975860728678,0.9459975860728678,0.04077900292535238,16,NaN,0.9459975860728678,1,9.695999999999998,11.88500000000002,57.28999999999999,57.28999999999999,11.88500000000002,correct,0.9615836752800266
SPA4_round1_0508_harry_female_yellow_6pm_tank3_part1_2019-09-18T192210_816.csv,SPA4,round1,0508,tank3,female,yellow,6pm,combined_now,round1femaleyellow,L,738.761,0,0,0.9952582770341153,0,0,0,0.0040324272667344565,0,0.9952582770341153,0.9952582770341153,0,4,NaN,0,0,NA,214.073,NA,NA,NA,incorrect,NA
SPA4_round1_0508_harry_male_black_6pm_tank2_2019-09-18T193320_772.csv,SPA4,round1,0508,tank2,male,black,6pm,combined_originally,round1maleblack,L,684.7009999999999,0.5028720565619152,0,0.017525898165768793,0,0.4674712027585764,0,4.45449911713298e-4,0.5028720565619152,0.017525898165768793,0.520397954727684,0.4674712027585764,10,0,0,0,8.305999999999983,34.08099999999999,340.384,NA,NA,incorrect,NA
SPA4_round1_0508_harry_male_blue_6pm_tank1_2019-09-19T153244_640.csv,SPA4,round1,0508,tank1,male,blue,6pm,combined_originally,round1maleblue,L,683.6489999999999,0.8264474898668762,0,0.08604561697596289,0,0.07624526621116966,0,0.00402106929140542,0.8264474898668762,0.08604561697596289,0.9124931068428391,0.07624526621116966,17,0,0,0,5.774000000000001,7.423999999999978,8.524000000000001,NA,NA,incorrect,NA
SPA4_round1_0508_harry_male_green_6pm_tank4_2019-09-19T144207_423.csv,SPA4,round1,0508,tank4,male,green,6pm,combined_originally,round1malegreen,L,261.094,0,0,0.9464752158226539,0,0,0,0.05352478417734607,0,0.9464752158226539,0.9464752158226539,0,3,NaN,0,0,NA,13.974999999999994,NA,NA,NA,incorrect,NA
SPA4_round1_0508_harry_male_orange_6pm_tank2_2019-09-19T141614_929.csv,SPA4,round1,0508,tank2,male,orange,6pm,combined_originally,round1maleorange,L,678.769,0,0.345553494635141,0.4647663638144935,0.0903090742211267,0.049648702283103745,0.0032043301918620493,0.036426236318983285,0.345553494635141,0.5550754380356202,0.9006289326707613,0.0528530324749658,13,1,0.43586256885626773,0.4839535496197566,3.8499999999999943,6.025000000000006,17.25,17.25,6.025000000000006,correct,0.4397660923025698
SPA4_round1_0508_harry_male_pink_6pm_tank4_2019-09-19T145352_522.csv,SPA4,round1,0508,tank4,male,pink,6pm,combined_originally,round1malepink,L,255.89499999999998,0.12133883037964774,0,0.8657652552804863,0,0.003223978584966557,0,0.008597276226577263,0.12133883037964774,0.8657652552804863,0.9871040856601341,0.003223978584966557,10,0,0,0,2.4749999999999943,3.3000000000000114,4.125,NA,NA,incorrect,NA
SPA4_round1_0508_harry_male_purple_6pm_tank1_2019-09-19T151323_428.csv,SPA4,round1,0508,tank1,male,purple,6pm,combined_originally,round1malepurple,L,689.1109999999999,0.043207843148636405,0.32937944685253895,7.9812976429053e-4,0.01429377850593014,0.018647213583878396,0.013568205992938722,0.12117060966955975,0.37258729000117535,0.01509190827022067,0.387679198271396,0.03221541957681712,26,0.8840329654065759,0.3436732253584691,0.8864886919155245,61.349999999999994,20.57499999999999,21.125,452.55699999999996,452.282,incorrect,1
SPA4_round1_0508_harry_male_white_6pm_tank3_2019-09-19T150103_268.csv,SPA4,round1,0508,tank3,male,white,6pm,combined_originally,round1malewhite,L,675.59,0,0.9732086028508414,0,0.011360440503855906,0,0.009325182433132495,0.0012211548424340038,0.9732086028508414,0.011360440503855906,0.9845690433546973,0.009325182433132495,6,1,0.9845690433546973,1,4.125,10.424999999999983,18.099999999999994,18.099999999999994,10.424999999999983,correct,1
SPA4_round2_0508_cooper_female_black_7pm_tank2_part1_2019-09-24T143737_450.csv,SPA4,round2,0508,tank2,female,black,7pm,combined_now,round2femaleblack,L,729.1679999999999,0,0.357807802865732,0,0.6365350646215963,0,0,0.005279990345160504,0.357807802865732,0.6365350646215963,0.9943428674873283,0,6,NaN,0.9943428674873283,1,NA,691.3679999999999,NA,NA,691.3679999999999,correct,1.0000000000000002
